feature,spearman_rho,p_value,abs_rho,practical_strength
SSLfinal_State,-0.7239096289651968,0.0,0.7239096289651968,strong
URL_of_Anchor,-0.6990588279971991,0.0,0.6990588279971991,strong
Prefix_Suffix,-0.38624227382286475,6.343490617028351e-203,0.38624227382286475,moderate
having_Sub_Domain,-0.30957635669556577,2.6217545660874457e-127,0.30957635669556577,moderate
web_traffic,-0.30281361148293023,1.2688663769687605e-121,0.30281361148293023,moderate
SFH,-0.2821249990464386,3.719314438637594e-105,0.2821249990464386,weak
Links_in_tags,-0.2522886058344702,8.880517367507033e-84,0.2522886058344702,weak
Request_URL,-0.2426632969714348,1.8523032877437567e-77,0.2426632969714348,weak
Domain_registeration_length,0.22358057541361384,9.735857478725607e-66,0.22358057541361384,weak
Google_Index,-0.11973067323460485,1.0196991584093445e-19,0.11973067323460485,weak
Statistical_report,-0.1097383343844928,8.529876397397576e-17,0.1097383343844928,weak
having_IP_Address,-0.10691397477669788,5.138998032141856e-16,0.10691397477669788,weak
Abnormal_URL,0.09165844883845989,3.7603722100252845e-12,0.09165844883845989,very weak
Links_pointing_to_page,-0.08340923595158257,2.6414452403104774e-10,0.08340923595158257,very weak
Shortining_Service,0.07754331132235381,4.28680817418524e-09,0.07754331132235381,very weak
age_of_domain,-0.06412650810963111,1.208175403085802e-06,0.06412650810963111,very weak
URL_Length,-0.05608845426908304,2.187949664292863e-05,0.05608845426908304,very weak
HTTPS_token,0.052464124131335395,7.183905688663971e-05,0.052464124131335395,very weak
Page_Rank,-0.04928432249690898,0.00019210063176382537,0.04928432249690898,very weak
Redirect,0.03780946318067856,0.0042336969681706525,0.03780946318067856,very weak
double_slash_redirecting,0.03747727778633931,0.004581760879686125,0.03747727778633931,very weak
having_At_Symbol,-0.034972868661121655,0.008157407501896464,0.034972868661121655,very weak
DNSRecord,-0.033711786420760656,0.010771184816391633,0.033711786420760656,very weak
Favicon,0.026194223834218665,0.04757253264317571,0.026194223834218665,very weak
popUpWidnow,0.023164100112245664,0.07978721949443413,0.023164100112245664,very weak
port,-0.014068802753372448,0.28735304028162134,0.014068802753372448,very weak
on_mouseover,-0.012662250636329486,0.3382809152090248,0.012662250636329486,very weak
Iframe,0.012156468875416285,0.35793060634463575,0.012156468875416285,very weak
RightClick,-0.009228617422039788,0.48524601082865737,0.009228617422039788,very weak
Submitting_to_email,0.008508960096279092,0.5199219545067643,0.008508960096279092,very weak
